stock_no,people,lots,b4_pct,b4_people,b4_lots,b1_pct,b1_people,s10_pct
5492,1375,71415,98.66,1,70463,98.66,1,1.03
5493,5675,43689,44.79,18,19578,23.47,4,19.6
5497,4840,65328,26.12,14,17079,15.5,4,16.92
5498,71717,193549,33.47,20,64831,30.25,10,38.66
5501,6096,21200,28.1,4,5959,24.3,3,20.16
5505,5928,138832,65.6,47,91106,50.89,15,7.02
5506,7580,152545,66.77,34,101882,58.45,12,6.12
5508,18991,217428,68.85,18,149722,66.38,9,14.72
5511,6130,113440,64.67,38,73378,53.39,17,9.24
5512,79048,766312,61.07,150,468150,54.66,70,9.2
5514,10436,236118,92.41,51,218245,87.52,32,1.22
5515,12096,201600,69.92,57,141000,61.75,30,8.32
5516,1813,51545,70.8,15,36507,60.51,7,4.65
5519,17180,219197,58.34,45,127911,51.51,21,16.23
5520,1220,59975,83.75,23,50242,73.58,12,2.17
5521,63996,492280,57.27,90,282032,52.18,50,10.47
5522,16768,781596,89.66,63,700895,87.26,33,3.89
5523,2626,155001,92.12,32,142828,88.58,23,1.44
5524,3916,58669,30.68,22,18012,11.6,4,16.09
5525,4698,318105,88.35,69,281099,84.12,49,1.99
5529,11360,101837,73.85,19,75228,68.33,10,5.1
5530,12671,420084,82.48,47,346557,79.81,28,4.8
5531,14995,977589,86.05,83,841376,83.59,41,3.2
5532,821,17804,31.03,8,5527,5.88,1,4.86
5533,5734,285245,79.86,77,227847,70.77,34,3.52
5534,22562,315326,69.34,86,218732,60.06,43,11.31
5536,27689,124081,59.67,64,74072,37.23,18,11.1
5538,1324,201203,94.07,21,189315,93.05,18,0.99
5541,86,26427,82.05,10,21689,76.05,7,0.26
5543,1107,46704,72.51,29,33870,46.25,9,2.84
5546,1334,82353,85.18,19,70158,77.99,9,2.48
5547,1353,45288,65.82,13,29820,54.69,6,5.1
5548,2317,57803,64.17,17,37108,57.26,11,6.01
5601,865,64800,79.4,44,51463,48.78,12,1.18
5603,29686,104877,56.42,22,59199,51.92,14,17.69
5604,11078,108783,67.08,44,72987,53.81,21,7.12
5607,17947,370553,75.73,59,280696,68.52,18,6.48
5608,90336,389276,28.77,51,112102,23.8,19,30.6
5609,38387,142884,52.13,46,74528,45.16,30,23.78
5701,52148,143000,53.5,19,76539,48.27,7,17.3
5702,1937,5294,0,0,0,0,0,45.88
5703,1987,70240,88.29,25,62024,83.83,19,3.6
5704,3558,58862,83.84,23,49357,79.45,19,7.23
5706,28275,84911,39.95,15,33937,35.26,7,30.36
5810,48684,916440,72.85,99,667818,68.96,39,7.71
5859,3617,1450278,96.77,46,1403636,96.13,31,0.51
5863,27002,320202,81.56,44,261224,77.21,23,5.17
